velocidad_Internet,velocidad_Descarga,calidad_Servicio,pagarx_mas_Velocidad
Alta,Poco,Satisfecho,Si
Alta,Mucho,Satisfecho,Si
Media,Poco,Insatisfecho,No
Media,Mucho,Neutral,Si
Alta,Nada,Neutral,Si
Alta,Poco,Neutral,No
Alta,Poco,Insatisfecho,Si
Baja,Poco,Satisfecho,Si
Media,Nada,Neutral,No
Baja,Poco,Insatisfecho,No
Baja,Nada,Neutral,Si
Baja,Nada,Insatisfecho,Si
Baja,Poco,Satisfecho,No
Media,Mucho,Neutral,No
Alta,Nada,Neutral,Si
Media,Mucho,Insatisfecho,No
Media,Poco,Satisfecho,No
Alta,Poco,Neutral,No
Media,Poco,Neutral,Si
Media,Poco,Insatisfecho,Si
Baja,Mucho,Insatisfecho,Si
Media,Mucho,Satisfecho,Si
Alta,Nada,Insatisfecho,Si
Media,Poco,Satisfecho,No
Baja,Nada,Neutral,Si
Alta,Poco,Neutral,Si
Baja,Nada,Satisfecho,Si
Alta,Mucho,Neutral,Si
Baja,Poco,Satisfecho,Si
Media,Poco,Satisfecho,No
Alta,Poco,Satisfecho,No
Alta,Mucho,Insatisfecho,No
Baja,Mucho,Insatisfecho,Si
Alta,Poco,Insatisfecho,No
Alta,Poco,Satisfecho,Si
Alta,Mucho,Satisfecho,No
Media,Mucho,Satisfecho,Si
Media,Nada,Insatisfecho,Si
Media,Poco,Neutral,Si
Alta,Poco,Satisfecho,Si
Alta,Mucho,Insatisfecho,Si
Alta,Nada,Neutral,No
Alta,Mucho,Insatisfecho,No
Baja,Poco,Satisfecho,No
Media,Mucho,Insatisfecho,No
Alta,Poco,Satisfecho,No
Baja,Poco,Neutral,Si
Alta,Nada,Insatisfecho,No
Baja,Mucho,Neutral,No
Media,Nada,Neutral,No
Alta,Mucho,Neutral,No
Baja,Nada,Neutral,No
Alta,Poco,Satisfecho,Si
Alta,Nada,Neutral,Si
Media,Nada,Neutral,No
Baja,Mucho,Insatisfecho,Si
Media,Mucho,Neutral,No
Media,Poco,Satisfecho,No
Alta,Poco,Neutral,Si
Alta,Poco,Neutral,No
Baja,Poco,Insatisfecho,No
Media,Poco,Insatisfecho,Si
Alta,Poco,Neutral,Si
Media,Poco,Neutral,No
Alta,Poco,Satisfecho,Si
Baja,Nada,Insatisfecho,Si
Media,Mucho,Insatisfecho,Si
Alta,Poco,Neutral,No
Media,Poco,Insatisfecho,Si
Alta,Poco,Insatisfecho,Si
Baja,Nada,Neutral,No
Alta,Nada,Insatisfecho,No
Alta,Mucho,Neutral,No
Baja,Mucho,Satisfecho,No
Alta,Poco,Insatisfecho,No
Media,Nada,Satisfecho,No
Alta,Poco,Insatisfecho,No
Baja,Mucho,Neutral,Si
Media,Mucho,Insatisfecho,Si
Alta,Nada,Neutral,Si
Media,Poco,Insatisfecho,Si
Alta,Mucho,Insatisfecho,No
Alta,Mucho,Insatisfecho,No
Baja,Poco,Satisfecho,Si
Baja,Poco,Satisfecho,No
Baja,Mucho,Neutral,Si
Baja,Mucho,Satisfecho,Si
Alta,Poco,Neutral,Si
Alta,Mucho,Satisfecho,Si
Alta,Mucho,Satisfecho,Si
Media,Poco,Insatisfecho,No
Media,Nada,Insatisfecho,Si
Alta,Mucho,Satisfecho,No
Alta,Mucho,Neutral,Si
Media,Nada,Neutral,Si
Baja,Poco,Satisfecho,No
Baja,Poco,Satisfecho,No
Baja,Mucho,Neutral,Si
Alta,Mucho,Insatisfecho,No
Alta,Nada,Satisfecho,No
Media,Poco,Neutral,Si
Media,Nada,Neutral,Si
Baja,Mucho,Neutral,No
Baja,Mucho,Insatisfecho,Si
Baja,Poco,Satisfecho,Si
Media,Poco,Satisfecho,No
Alta,Nada,Satisfecho,Si
Baja,Mucho,Neutral,No
Media,Mucho,Satisfecho,No
Media,Poco,Neutral,Si
Alta,Poco,Satisfecho,No
Alta,Poco,Satisfecho,No
Media,Poco,Insatisfecho,No
Baja,Mucho,Insatisfecho,No
Baja,Nada,Insatisfecho,Si
Baja,Mucho,Insatisfecho,Si
Alta,Mucho,Satisfecho,Si
Media,Poco,Neutral,No
Baja,Poco,Insatisfecho,No
Media,Mucho,Satisfecho,No
Alta,Poco,Insatisfecho,No
Alta,Nada,Neutral,Si
Media,Mucho,Insatisfecho,No
Media,Poco,Insatisfecho,Si
Alta,Mucho,Neutral,Si
Alta,Nada,Insatisfecho,Si
Baja,Mucho,Neutral,No
Alta,Nada,Insatisfecho,No
Media,Poco,Neutral,No
Alta,Mucho,Satisfecho,No
Media,Mucho,Neutral,Si
Baja,Poco,Insatisfecho,No
Baja,Mucho,Neutral,No
Alta,Poco,Satisfecho,Si
Alta,Nada,Neutral,No
Alta,Mucho,Neutral,No
Baja,Mucho,Satisfecho,No
Baja,Poco,Neutral,Si
Alta,Mucho,Insatisfecho,No
Baja,Poco,Satisfecho,No
Alta,Mucho,Neutral,No
Baja,Mucho,Satisfecho,Si
Media,Nada,Insatisfecho,Si
Media,Poco,Neutral,No
Alta,Mucho,Satisfecho,No
Media,Poco,Insatisfecho,No
Media,Mucho,Insatisfecho,No
Alta,Mucho,Satisfecho,No
Baja,Poco,Neutral,Si
Media,Mucho,Neutral,Si
Baja,Poco,Insatisfecho,No
Alta,Poco,Satisfecho,No
Baja,Mucho,Neutral,Si
Alta,Nada,Satisfecho,Si
Baja,Nada,Satisfecho,Si
Baja,Mucho,Insatisfecho,No
Media,Mucho,Satisfecho,Si
Baja,Mucho,Neutral,Si
Baja,Nada,Satisfecho,Si
Media,Poco,Neutral,Si
Media,Poco,Satisfecho,No
Alta,Mucho,Insatisfecho,No
Baja,Mucho,Satisfecho,Si
Alta,Poco,Satisfecho,Si
Media,Poco,Neutral,No
Alta,Mucho,Neutral,No
Baja,Nada,Neutral,Si
Baja,Nada,Neutral,Si
Baja,Mucho,Insatisfecho,Si
Alta,Poco,Neutral,Si
Media,Mucho,Neutral,No
Alta,Mucho,Satisfecho,No
Media,Nada,Neutral,No
Media,Nada,Insatisfecho,No
Alta,Mucho,Satisfecho,Si
Alta,Poco,Satisfecho,No
Media,Nada,Insatisfecho,No
Alta,Mucho,Satisfecho,Si
Baja,Nada,Neutral,Si
Media,Nada,Neutral,No
Alta,Mucho,Neutral,No
Alta,Poco,Neutral,Si
Media,Nada,Neutral,Si
Baja,Mucho,Neutral,No
Media,Nada,Satisfecho,Si
Media,Poco,Satisfecho,No
Alta,Mucho,Insatisfecho,Si
Baja,Nada,Neutral,Si
Baja,Mucho,Neutral,Si
Baja,Poco,Insatisfecho,No
Media,Poco,Satisfecho,Si
Media,Poco,Insatisfecho,Si
Baja,Nada,Insatisfecho,No
Media,Nada,Satisfecho,Si
Media,Mucho,Neutral,Si
Media,Poco,Insatisfecho,Si
Baja,Mucho,Insatisfecho,No
Media,Mucho,Insatisfecho,Si
Media,Poco,Satisfecho,No
Alta,Poco,Satisfecho,No
Alta,Nada,Insatisfecho,No
Baja,Nada,Satisfecho,Si
Alta,Poco,Satisfecho,No
Alta,Nada,Neutral,No
Baja,Mucho,Neutral,Si
Media,Mucho,Insatisfecho,Si
Baja,Poco,Neutral,Si
Alta,Poco,Satisfecho,No
Baja,Nada,Satisfecho,No
Baja,Nada,Satisfecho,Si
Alta,Mucho,Satisfecho,No
Alta,Nada,Insatisfecho,Si
Baja,Poco,Insatisfecho,No
Baja,Mucho,Insatisfecho,No
Media,Nada,Neutral,Si
Alta,Poco,Insatisfecho,No
Media,Nada,Insatisfecho,Si
Media,Poco,Neutral,Si
Baja,Mucho,Satisfecho,No
Media,Mucho,Neutral,No
Baja,Poco,Neutral,Si
Baja,Mucho,Satisfecho,No
Media,Poco,Satisfecho,No
Baja,Nada,Neutral,Si
Media,Nada,Insatisfecho,No
Media,Nada,Insatisfecho,Si
Alta,Nada,Satisfecho,No
Media,Poco,Neutral,No
Baja,Poco,Neutral,No
Baja,Poco,Neutral,No
Baja,Poco,Insatisfecho,No
Media,Nada,Neutral,Si
Alta,Nada,Satisfecho,No
Alta,Mucho,Satisfecho,Si
Baja,Poco,Insatisfecho,Si
Media,Nada,Neutral,No
Baja,Nada,Satisfecho,Si
Media,Mucho,Neutral,No
Media,Mucho,Insatisfecho,Si
Alta,Nada,Neutral,Si
Alta,Nada,Insatisfecho,No
Alta,Mucho,Satisfecho,Si
Alta,Mucho,Insatisfecho,No
Media,Mucho,Insatisfecho,Si
Media,Mucho,Neutral,No
Alta,Mucho,Insatisfecho,No
Alta,Nada,Neutral,No
Alta,Nada,Satisfecho,No
Media,Poco,Satisfecho,No
Media,Mucho,Satisfecho,No
Media,Poco,Insatisfecho,No
Baja,Nada,Insatisfecho,No
Baja,Nada,Neutral,Si
Media,Mucho,Insatisfecho,No
Baja,Poco,Insatisfecho,Si
Media,Nada,Insatisfecho,No
Alta,Poco,Satisfecho,No
Alta,Mucho,Neutral,No
Media,Poco,Neutral,No
Alta,Mucho,Insatisfecho,No
Baja,Mucho,Satisfecho,Si
Alta,Nada,Insatisfecho,Si
Baja,Mucho,Satisfecho,Si
Baja,Nada,Insatisfecho,Si
Media,Nada,Satisfecho,No
Baja,Mucho,Satisfecho,Si
Baja,Poco,Insatisfecho,No
Baja,Mucho,Satisfecho,Si
Media,Mucho,Neutral,No
Alta,Mucho,Satisfecho,Si
Media,Nada,Neutral,Si
Media,Mucho,Neutral,No
Media,Mucho,Satisfecho,No
Baja,Poco,Insatisfecho,No
Alta,Mucho,Insatisfecho,No
Alta,Poco,Insatisfecho,No
Baja,Poco,Satisfecho,No
Alta,Mucho,Satisfecho,No
Alta,Poco,Satisfecho,Si
Media,Mucho,Satisfecho,No
Media,Poco,Neutral,No
Alta,Nada,Insatisfecho,No
Baja,Nada,Neutral,No
Alta,Poco,Satisfecho,No
Baja,Nada,Neutral,Si
Media,Mucho,Insatisfecho,No
Baja,Poco,Neutral,Si
Alta,Nada,Insatisfecho,No
Alta,Nada,Satisfecho,Si
Baja,Poco,Insatisfecho,No
Media,Poco,Insatisfecho,Si
Alta,Mucho,Insatisfecho,Si
Baja,Nada,Insatisfecho,No
Media,Mucho,Insatisfecho,Si
Baja,Poco,Neutral,Si
Baja,Mucho,Insatisfecho,Si
Baja,Nada,Satisfecho,No
Media,Mucho,Insatisfecho,No
Alta,Mucho,Neutral,Si
Media,Mucho,Satisfecho,No
